경도,위도,설치기관명,설치위치
126.8391448,37.48859504,오류2동주민센터,민원실
127.0955293,37.61478377,봉화지구대,지구대내 오른쪽벽
127.0956737,37.59909518,망우지구대,소내정면벽
126.9528863,37.54399807,공덕지구대,1층좌측 벽면
127.0533035,37.64851237,노곡중학교,행정실 앞
126.9156582,37.57597354,DMC센트레빌(가재울센트레빌),정문 안내실 안 왼쪽 벽
127.0346914,37.5782006,제기동역(1호선),제기동역사내
127.051849,37.59108572,회기파출소,1층 사무실내
127.0290302,37.56446736,2호선상왕십리역,상왕십리역 역무실 앞
127.0090169,37.51158187,경원중학교,보건실
127.0386799,37.47992892,참포도나무병원,신관2층
126.9505662,37.58242281,무악재지하철역(3호선),지하철 역사내
127.0123048,37.64178968,수유극동아파트,106동2라인
127.0123048,37.64178968,수유극동아파트,104동 3라인
127.0648841,37.60189478,서울이문초등학교,교무실
127.0242362,37.55227254,래미안하이리버아파트,정문경비실
127.0986647,37.5178192,잠실중학교,1층 중앙현관
126.827395,37.50096534,우신빌라,관리사무소 입구
126.8990343,37.56994545,서울시도시철도공사,6호선월드컵경기장역 지하1층대합실
127.001572,37.6098269,고려대학교사범대학부속고등학교,현관 상황실 옆
127.0552459,37.54822203,성수2가3동주민센터,주민센터 내부
127.1137449,37.60679883,중랑구립잔디운동장,관리사무소 입구
127.0957617,37.57941383,중랑문화체육관,1층 안내데스크
126.9919958,37.47587683,동덕여자고등학교,보건실
127.0238659,37.46986315,우면종합사회복지관,우면종합사회복지관1층
127.0465898,37.62586611,번3동주민센터,정문
127.0471334,37.66871667,도봉구청,지하1층 심폐소생술교육장
127.0863401,37.55069375,서울어린이대공원,후문(아차산물품보관소)
127.0164173,37.48478874,남부터미널역,남부터미널역역무실 앞
126.932809,37.61839961,독바위역,안내센터 부근
126.8833096,37.49130241,구로2동주민센터,민원실
126.89032,37.50697221,신도림테크노마트,1층 종합상황실 입구
127.0585975,37.51023419,한국도심공항공사,타워 1층
127.0398969,37.57439316,동대문구청,구청 1층 로비
127.0440025,37.55664568,한양대학교관재팀,학생복지관 1층
126.893437,37.48153424,에이스하이엔드타워1차,에이스하이엔드1차 1층로비
127.0149435,37.60114042,정릉우성아파트,103동5라인승강기입구
127.0149435,37.60114042,정릉우성아파트,104동2라인승강기입구
127.069528,37.55415747,서울송원초등학교,1층 엘레베이터 옆
126.9787396,37.56207597,소테츠호텔즈더스프라지르서울명동,B1F 휘트니스센터
126.9464224,37.59524753,홍은파출소,1층 소내
127.0632344,37.59018278,청량고등학교,보건소 입구
126.8305339,37.51193,신정이펜하우스3단지,302동 승강기옆
127.1092716,37.60221882,망우금호어울림아파트,108동 1층 출입문
127.0472852,37.58627634,청량리동주민센터,주민센터 1층
127.0297499,37.59816434,래미안세레니티아파트,205동 3-4라인 1층 승강기 입구
127.0297499,37.59816434,래미안세레니티아파트,205동 1-2라인 승강기입구
126.9748987,37.55391939,LG서울역빌딩,15층 엘리베이터 옆
127.0697666,37.60125769,이문현대,관리사무소 입구
127.0297499,37.59816434,래미안세레니티아파트,208동 1-2 지하1층 승강기입구
126.8963331,37.46397073,금천장애인종합복지관,복지관1층
126.9078743,37.47655479,독산3치안센터,출입문 옆
127.0388603,37.60987817,꿈의숲푸르지오아파트,관리사무소
127.0431615,37.56628305,5호선마장역,지하2층 대합실
126.9931886,37.48753236,내방역,내방역역무실 앞
127.0688536,37.45571764,서울특별시어린이병원,재활의학과외래
126.8997902,37.53041255,당산현대5차아파트(당산동4가),관리동1층
127.0714139,37.5760073,은천노인복지회,2층 생활실내
127.0427073,37.58751785,정신건강복지센터,2층 정신보건센터내
127.0714119,37.54065938,영존,무스쿠스
127.1455237,37.48837637,거여5단지아파트,506동 출입구 현관 설치
127.0916708,37.53724908,서울광진학교,1층 보건실 안
127.0087748,37.56888548,두산타워빌딩,1F (로비)
127.0420577,37.47126365,매헌초등학교,1층보건실
126.9168874,37.45167193,동일여자고등학교,2층 교무실 복도
126.9413997,37.58899587,홍제현대아파트,후문 경비실 안
126.9153554,37.51539016,영등포여자고등학교,3층 체육건강부실 옆
127.089438,37.5624945,대원여고,장안관 1층 로비
127.0794754,37.5857545,면목5동주민센터,민원실
127.0994842,37.60588279,면목본동주민센터,면목본동 주민센터 민원실
127.0149435,37.60114042,정릉우성아파트,105동4라인승강기입구
126.9748987,37.55391939,LG서울역빌딩,9층 엘리베이터 옆
127.0488738,37.50146282,서울도성초등학교,본관 1층 중앙현관 좌측 교무실 옆
126.8997128,37.46565673,서울독산초등학교,보건실
126.9490268,37.59518742,홍제배드민턴장,홍제배드민턴장
127.0674046,37.58394561,휘경여자고등학교,체육관 중앙현관 앞
127.0297499,37.59816434,래미안세레니티아파트,202동 4-5라인 승강기입구
127.0297499,37.59816434,래미안세레니티아파트,206동 1-2라인 1층 승강기입구
126.9046408,37.45533882,서울시흥초등학교,보건실
127.1535498,37.53572887,강동그린웨이가족캠핑,관리사무소
126.9246161,37.47137323,남강고등학교,전관 4층 교무실 입구
127.0499781,37.55658924,한양대학교관재팀,올림픽체육관 3층 복도
127.0087748,37.56888548,두산타워빌딩,7F (면세 1213호기 E/V 앞)
127.0956923,37.53572635,테크노마트(강변점),지하1층 안내데스크
127.091984,37.53799261,구의3동주민센터,구의3동주민센터 내
127.0548902,37.5939495,경희여자고등학교,교무실 맞은편(상담실 옆)
127.0548902,37.5939495,경희고등학교,보건실 앞(1층)
126.9089023,37.56379067,마포장애인종합복지관,5층 로비
127.1574539,37.55672549,온조대왕문화체육관,2층 헬스장
126.8334325,37.516341,서울강월초등학교,강월초등학교 보건실
127.0442026,37.65006388,창동주공3단지,312동
127.049933,37.68556743,누원고등학교,중앙현관
127.071565,37.49012921,개포7단지아파트,701동 경비실
127.0720388,37.48893508,개포7단지아파트,705동 경비실
127.0733842,37.48878559,개포7단지아파트,707동 경비실
127.0398969,37.57439316,동대문구보건소,1층 내과 앞
127.0445006,37.55684371,한양대학교관재팀,신본관 1층 로비/복도
127.0500461,37.55664327,한양대학교관재팀,올림픽체육관 4층 관람석
126.8388719,37.48857831,구로구보건소오류보건지소,오류보건지소 1층 엘리베이터 옆
127.0214621,37.57081199,(주)이마트청계천점,지하2층 고객만족센터
126.8460358,37.49535749,구로문화재단오류문화센터,오류문화센터 2층 오류아트홀 로비
127.0242578,37.65713202,방학우성1차아파트,관리사무소
127.0364771,37.6184131,꿈의숲롯데캐슬아파트,커뮤니티센터
127.0202865,37.61868098,래미안트리베라2차아파트,정문초소 (210동 근처)
126.9637947,37.55308038,서울역센트럴자이아파트,관리사무소
127.1702183,37.54795369,상일여자고등학교,체육관 1층 복도
126.97899,37.57350424,에이플러스디(주)글래드강남코엑스센터,3층 로비
127.0195777,37.61664892,래미안트리베라2차아파트,경비제2초소 (221동 근처)
127.0207269,37.6139408,래미안트리베라1차아파트,임대 관리사무소
127.0285558,37.62786371,신일중학교,정문 경비실
127.0743517,37.64325531,중계9단지,관리사무소 내
127.051301,37.52508972,한국마사회청담지사,1층 로비
127.0910356,37.61410212,신내6단지,604동엘리베이터 앞
127.0026604,37.64214347,통일교육원,1 교육관 1층 로비
127.0303406,37.63623635,강북북부시장,강북북부시장 경비실 안 중앙벽면
127.1448776,37.48167007,위례스타힐스아파트,관리사무소
126.9889736,37.57784118,웰니스센터,센터 입구
127.0547066,37.48541153,개포경남아파트,관리사무소
127.0298682,37.61085386,(주)이마트미아점,1층 고객센터
126.969367,37.55361895,공항철도서울역,지하7층 일반열차 승강장
126.969367,37.55361895,공항철도서울역,지하3층 환승통로
127.0157534,37.61835281,미아두산위브트레지움,헬스장(사무실 입구 좌측아래벽)
127.019044,37.55460483,신금호파크자이아파트,정문초소 내부벽
127.0317492,37.60242371,성북소방서,1층 현관
126.9424032,37.50398531,상도두산위브트레지움2차아파트,아파트정문 경비실 내
126.9223643,37.50190153,서울공업고등학교,체육관
127.1076038,37.5513214,워커힐아파트,워커힐아파트 정문초소
127.0228776,37.55427754,e편한세상금호아파트,관리사무소 입구
127.0178144,37.61584588,삼각산아이원아파트,103동 1-2라인
127.0183402,37.61541152,삼각산아이원아파트,106동 1-2라인
127.1031067,37.48731817,(주)이마트수서점,B1 고객만족센터 측면
127.0108171,37.61820245,SK북한산시티아파트,노인정 (SK독서실 건물 3층 현관 우측 벽면)
126.8618193,37.55819482,이마트가양점,1층 고객만족센터
127.0107747,37.61824187,SK북한산시티아파트,독서실 (144동과 141동사이 4층 내 좌측 소화전 벽면)
126.8753858,37.49280922,구일우성아파트,기전실
127.0470072,37.66985916,도봉서원제2아파트,관리사무소
127.0369482,37.46246789,이마트양재점,고객만족센터
127.0240824,37.56659122,센트라스아파트,경비5초소
127.0887921,37.48359242,수서청소년수련관,수영장 강사대기실
127.0912621,37.59923562,망우역,2층고객지원실앞
127.0257642,37.54645177,힐스테이트서울숲리버,109동 1층 관리사무실 내
127.0158925,37.54811135,3호선금호역,가 게이트 좌측 벽면
127.0087748,37.56888548,두산타워빌딩,두산타워빌딩 지하3층 종합관제센터
127.0087748,37.56888548,두산타워빌딩,두산타워 지하2층 두타몰 4번계단 TAX FREE앞
127.1116072,37.4765488,강남한양수자인아파트,정문 경비초소 내
127.0714149,37.49164119,개원중학교,1층 본관현관 입구
127.0945591,37.58450361,중화중학교,본관1층 행정실앞
127.0547126,37.62667063,월계문화체육센터,2층 헬스장 안
127.0288726,37.62519423,서울애화학교,중앙로비 현관
127.0193876,37.58532917,우이신설도시철도보문역,상선 E/S 앞
127.0164772,37.59271775,우이신설도시철도성신여대입구역,상선 E/S 앞
127.0954474,37.58528541,경성여객,관리사무동 1층 사무실내
127.0314655,37.61700179,서울송중초등학교,1층 교무실 앞
126.9143097,37.53170115,국회사무처,본관 1층 의무실
126.9404946,37.46852069,서울삼성초등학교,서울시 관악구 대학7길 52
127.0121769,37.51714438,신동초등학교,신동초등학교 본관(바른동) 3층 어울림마당(강당) 입구 우측
127.037431,37.65037976,창동염광교회,교회본관
127.0229474,37.63984061,성실교회,정문 입구 좌측
127.0758033,37.58648131,면목한신아파트,1층 관리사무소 입구
127.0938093,37.60604486,신내10단지아파트,2층 관리사무소 앞 체력단련실 입구
127.0938093,37.60604486,신내9단지아파트,2층 관리사무소내
126.8103987,37.55894154,공항동문화체육센터,지하2층 민원실
126.9180206,37.53170378,국회사무처,국회의정관 1층
127.0087748,37.56888548,두산타워빌딩,24층 업무동 여자화장실앞
127.0087748,37.56888548,두산타워빌딩,5층 두타몰 1213호기 엘리베이터앞
127.0938093,37.60604486,신내2동주민센터,3층 민원실
126.8240818,37.55805092,마곡엠밸리14단지(아),정문 경비실
127.0388102,37.632172,강북구보건소,보건소 입구
126.9752086,37.57490906,서울청사관리소,정부서울청사 본관 로비 독도 스크린 옆
127.0154539,37.61608236,서울삼각산초등학교,교무실 옆 3층
126.9846585,37.57621891,안국역(3호선),고객안내부스 우측 1M 옆
127.0113885,37.51712824,신동초등학교,신동초등학교 별관(슬기동) 1층 2-8반 계단 옆
127.0951396,37.61363398,신내두산화성아파트,1층 관리사무소 경로당
127.0311634,37.65317283,정의여자고등학교,1층 중앙현관
127.0265866,37.6443353,수유3파출소,조사실 안
127.0647592,37.65110673,서울상수초등학교,보건실 내
127.1163822,37.48213045,서울동부구치소,3층 의료과(치료실)
127.0087748,37.56888548,두산타워빌딩,두산타워빌딩 지하7층 미화사무실
127.1313047,37.55601144,한강현대아파트,102동경비실
127.1313089,37.48351677,송파파인타운2단지,송파파인타운 2단지 관리사무소
127.1459093,37.48893452,거여5단지아파트,503동 출입구 현관 설치
127.0705762,37.53757126,광진구의회,5층 로비
127.0275323,37.50480705,르메르디앙,5층 휘트니스클럽 내
127.1116072,37.4765488,강남한양수자인아파트,후문 경비초소 내
126.8822527,37.57960298,서울상지초등학교,보건실 내
127.0952027,37.6053187,신내성원아파트,후문 경비실내
127.072289,37.49043511,개포7단지아파트,702동 경비실
127.0717114,37.48948039,개포7단지아파트,703동 경비실
126.9056649,37.60435804,서울특별시서북병원,서북병원 본관 1층
127.0845074,37.54619008,서울어린이대공원,구의문 초소앞
127.0740685,37.55190942,세종대학교,율곡관 1층
127.0814764,37.56015047,중곡2동주민센터,민원실 내
126.9611424,37.56974797,충정로 지구대,1층 소내
127.0729314,37.48826329,개포7단지아파트,708동 경비실
126.8955115,37.48570596,에이스테크노타워8차관리사무소705호,에이스테크노타워8차 1층로비
127.0130178,37.493756,교대역3호선,교대역3호선역무실 앞
127.056978,37.58187161,해성국제컨벤션고등학교,본관 3층 보건실 앞
126.8508314,37.56079794,등촌주공7단지아파트,관리사무소 앞
126.9968242,37.50491473,계성초등학교,보건실
